score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed
1,Susah masuk,susah masuk,susah masuk,"['susah', 'masuk']",susah masuk
1,"Akun tiba² log out sendiri, sekali mau login susah banget sekarang. Tolong perbaiki lagi supaya bisa diakses kembali seperti semula.",akun tiba log out sendiri sekali mau login susah banget sekarang tolong perbaiki lagi supaya bisa diakses kembali seperti semula,akun log out login susah banget tolong perbaiki diakses,"['akun', 'log', 'out', 'login', 'susah', 'banget', 'tolong', 'perbaiki', 'diakses']",akun log out login susah banget tolong baik akses
1,Aplikasi busuk,aplikasi busuk,aplikasi busuk,"['aplikasi', 'busuk']",aplikasi busuk
1,Join dari 2011 sampe 2025 belum pernah dapat offering latter dari sini. Kebanyakan ghosting HR nya. Ampun deh 14 tahun yg buang² waktu,join dari 2011 sampe 2025 belum pernah dapat offering latter dari sini kebanyakan ghosting hr nya ampun deh 14 tahun yg buang waktu,join 2011 sampe 2025 offering latter kebanyakan ghosting hr nya ampun deh 14 yg buang,"['join', '2011', 'sampe', '2025', 'offering', 'latter', 'kebanyakan', 'ghosting', 'hr', 'nya', 'ampun', 'deh', '14', 'yg', 'buang']",join 2011 sampe 2025 offering latter banyak ghosting hr nya ampun deh 14 yg buang
2,Buat login susah. Gagal terus,buat login susah gagal terus,login susah gagal,"['login', 'susah', 'gagal']",login susah gagal
1,"Aplikasi jobstreet makin hari makin jelek aja, pencarian tidak sesuai dengan yang kita cari, pas kirim lamaran kerja datanya tiba2 ngga ke baca",aplikasi jobstreet makin hari makin jelek aja pencarian tidak sesuai dengan yang kita cari pas kirim lamaran kerja datanya tiba2 ngga ke baca,aplikasi jobstreet jelek aja pencarian sesuai cari pas kirim lamaran kerja datanya tiba2 ngga baca,"['aplikasi', 'jobstreet', 'jelek', 'aja', 'pencarian', 'sesuai', 'cari', 'pas', 'kirim', 'lamaran', 'kerja', 'datanya', 'tiba2', 'ngga', 'baca']",aplikasi jobstreet jelek aja cari sesuai cari pas kirim lamar kerja data tiba2 ngga baca
2,Setelah di-update sering ngelag,setelah diupdate sering ngelag,diupdate ngelag,"['diupdate', 'ngelag']",diupdate ngelag
5,Good,good,good,['good'],good
5,Aplikasi terbaik 👍🎉,aplikasi terbaik ,aplikasi terbaik,"['aplikasi', 'terbaik']",aplikasi baik
5,"Udh ga worth it, skrg jamannya ordal ama bayar calo [Maybe]...bkn salah apknya, trgntung perekonomian negara jg dll. ,3-4 thn belakangan msih sering dipanggil interview setidaknya walau msh blm diterima,seminggu bisa 4-5 interview. skrg udh ga sama sekali, di review juga engga, tapi makasih, dlu bnyk ketrima kerja dari apk ini juga, paling terpercaya jobnya",udh ga worth it skrg jamannya ordal ama bayar calo maybebkn salah apknya trgntung perekonomian negara jg dll 34 thn belakangan msih sering dipanggil interview setidaknya walau msh blm diterimaseminggu bisa 45 interview skrg udh ga sama sekali di review juga engga tapi makasih dlu bnyk ketrima kerja dari apk ini juga paling terpercaya jobnya,udh ga worth it skrg jamannya ordal ama bayar calo maybebkn salah apknya trgntung perekonomian negara jg dll 34 thn msih dipanggil interview msh blm diterimaseminggu 45 interview skrg udh ga review engga makasih dlu bnyk ketrima kerja apk terpercaya jobnya,"['udh', 'ga', 'worth', 'it', 'skrg', 'jamannya', 'ordal', 'ama', 'bayar', 'calo', 'maybebkn', 'salah', 'apknya', 'trgntung', 'perekonomian', 'negara', 'jg', 'dll', '34', 'thn', 'msih', 'dipanggil', 'interview', 'msh', 'blm', 'diterimaseminggu', '45', 'interview', 'skrg', 'udh', 'ga', 'review', 'engga', 'makasih', 'dlu', 'bnyk', 'ketrima', 'kerja', 'apk', 'terpercaya', 'jobnya']",udh ga worth it skrg jaman ordal ama bayar calo maybebkn salah apknya trgntung ekonomi negara jg dll 34 thn msih panggil interview msh blm diterimaseminggu 45 interview skrg udh ga review engga makasih dlu bnyk ketrima kerja apk percaya jobnya
5,Terima kasih untuk info loker perkerjaan,terima kasih untuk info loker perkerjaan,terima kasih info loker perkerjaan,"['terima', 'kasih', 'info', 'loker', 'perkerjaan']",terima kasih info loker kerja
5,Bagus banget. Tapi gk di penerjemah kan,bagus banget tapi gk di penerjemah kan,bagus banget gk penerjemah,"['bagus', 'banget', 'gk', 'penerjemah']",bagus banget gk terjemah
1,"susah untuk login, aplikasi nya jelek. buffering. 10 kali masukin kode verifikasi tetap gak bisa",susah untuk login aplikasi nya jelek buffering 10 kali masukin kode verifikasi tetap gak bisa,susah login aplikasi nya jelek buffering 10 kali masukin kode verifikasi gak,"['susah', 'login', 'aplikasi', 'nya', 'jelek', 'buffering', '10', 'kali', 'masukin', 'kode', 'verifikasi', 'gak']",susah login aplikasi nya jelek buffering 10 kali masukin kode verifikasi gak
4,"Ada gak seseorang yang melamar pekerjaan melalui jobstreet ini, lalu berhasil di panggil kerja?",ada gak seseorang yang melamar pekerjaan melalui jobstreet ini lalu berhasil di panggil kerja,gak melamar pekerjaan jobstreet berhasil panggil kerja,"['gak', 'melamar', 'pekerjaan', 'jobstreet', 'berhasil', 'panggil', 'kerja']",gak lamar kerja jobstreet hasil panggil kerja
5,Persaingan di perusahaan yang saya apply sangat ketat sekali jarang banget dapet panggilan dari pihak perusahaan,persaingan di perusahaan yang saya apply sangat ketat sekali jarang banget dapet panggilan dari pihak perusahaan,persaingan perusahaan apply ketat jarang banget dapet panggilan perusahaan,"['persaingan', 'perusahaan', 'apply', 'ketat', 'jarang', 'banget', 'dapet', 'panggilan', 'perusahaan']",saing usaha apply ketat jarang banget dapet panggil usaha
2,"Bintang 2 dlu, gatau kenapa ini aplikasinya eror apa gimana ya? Udah di update tetep ga bisa masuk, terus di hapus dan di download ulang ga bisa masuk???",bintang 2 dlu gatau kenapa ini aplikasinya eror apa gimana ya udah di update tetep ga bisa masuk terus di hapus dan di download ulang ga bisa masuk,bintang 2 dlu gatau aplikasinya eror gimana ya udah update tetep ga masuk hapus download ulang ga masuk,"['bintang', '2', 'dlu', 'gatau', 'aplikasinya', 'eror', 'gimana', 'ya', 'udah', 'update', 'tetep', 'ga', 'masuk', 'hapus', 'download', 'ulang', 'ga', 'masuk']",bintang 2 dlu gatau aplikasi eror gimana ya udah update tetep ga masuk hapus download ulang ga masuk
5,"Kenapa tiba"" saya tidak bisa akses akun saya ini Tidak bisa log in Tolong di bantu",kenapa tiba saya tidak bisa akses akun saya ini tidak bisa log in tolong di bantu,akses akun log in tolong bantu,"['akses', 'akun', 'log', 'in', 'tolong', 'bantu']",akses akun log in tolong bantu
1,"Cuma apply doang, di review mah kaga",cuma apply doang di review mah kaga,apply doang review mah kaga,"['apply', 'doang', 'review', 'mah', 'kaga']",apply doang review mah kaga
1,Gak tau kenapa gak bisa masuk. Padahal udah bener otpnya,gak tau kenapa gak bisa masuk padahal udah bener otpnya,gak tau gak masuk udah bener otpnya,"['gak', 'tau', 'gak', 'masuk', 'udah', 'bener', 'otpnya']",gak tau gak masuk udah bener otpnya
1,"Gaguna banyak error nya, setiap mau bikin akun atau login ke akun kayak sampah",gaguna banyak error nya setiap mau bikin akun atau login ke akun kayak sampah,gaguna error nya bikin akun login akun kayak sampah,"['gaguna', 'error', 'nya', 'bikin', 'akun', 'login', 'akun', 'kayak', 'sampah']",gaguna error nya bikin akun login akun kayak sampah
3,Bagus,bagus,bagus,['bagus'],bagus
1,"Akun saya muter muter buat login..... Padahal jaringan sama hp nggak bermasalah. Saya minta tolong buat perbaikannya, soalny lebih dari 3 bulan saya ga bisa login",akun saya muter muter buat login padahal jaringan sama hp nggak bermasalah saya minta tolong buat perbaikannya soalny lebih dari 3 bulan saya ga bisa login,akun muter muter login jaringan hp nggak bermasalah tolong perbaikannya soalny 3 ga login,"['akun', 'muter', 'muter', 'login', 'jaringan', 'hp', 'nggak', 'bermasalah', 'tolong', 'perbaikannya', 'soalny', '3', 'ga', 'login']",akun muter muter login jaring hp nggak masalah tolong baik soalny 3 ga login
2,"Kenapa sekarang nggak bisa sign in lagi, tolong diperbaiki lagi",kenapa sekarang nggak bisa sign in lagi tolong diperbaiki lagi,nggak sign in tolong diperbaiki,"['nggak', 'sign', 'in', 'tolong', 'diperbaiki']",nggak sign in tolong baik
3,saya gabisa login sampe buat email baru ttep ajaa knpa yaa😭😭,saya gabisa login sampe buat email baru ttep ajaa knpa yaa,gabisa login sampe email ttep ajaa knpa yaa,"['gabisa', 'login', 'sampe', 'email', 'ttep', 'ajaa', 'knpa', 'yaa']",gabisa login sampe email ttep ajaa knpa yaa
3,"Gak bisa login udh 1bulan, muter2 terus walau udh masukin otp",gak bisa login udh 1bulan muter2 terus walau udh masukin otp,gak login udh 1bulan muter2 udh masukin otp,"['gak', 'login', 'udh', '1bulan', 'muter2', 'udh', 'masukin', 'otp']",gak login udh 1bulan muter2 udh masukin otp
1,ANEH APLIKASI TIDAK BISA LOGIN. PADAHAL SUDAH PUNYA AKUN,aneh aplikasi tidak bisa login padahal sudah punya akun,aneh aplikasi login akun,"['aneh', 'aplikasi', 'login', 'akun']",aneh aplikasi login akun
